type,name,request_count,failure_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,rps,fps,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/d,2,0,4,56.35863000043173,3.889950001394027,108.82730999946943,401.0,0.06534359374622693,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/d,3,0,21,493.80201099969173,1.6450419989268994,1458.3047020005324,0.0,0.09801539061934039,0.0,21,21,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/d,3,0,3,21.725246999873587,2.026165000643232,60.452934998465935,114.0,0.09801539061934039,0.0,3,3,60,60,60,60,60,60,60,60,60
GET,/d,2,0,3,134.5426600000792,2.565479999248055,266.51984000091034,176.0,0.06534359374622693,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/d,3,0,47,49.841484333228436,2.4390670005232096,100.30073799862294,0.0,0.09801539061934039,0.0,47,47,100,100,100,100,100,100,100,100,100
GET,/d,3,0,5,98.6169803327357,1.455211999200401,289.50048399929074,0.0,0.09801539061934039,0.0,5,5,290,290,290,290,290,290,290,290,290
GET,/d,3,0,250.0,274.39579433363787,217.19939500144392,357.82844300047145,0.0,0.09801539061934039,0.0,250,250,360,360,360,360,360,360,360,360,360
GET,/d,3,0,430.0,623.3618209995863,320.01637299981667,1115.942261998498,480.0,0.09801539061934039,0.0,430,430,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/d,2,0,120.65304499992635,243.92342699957226,120.65304499992635,367.19380899921816,0.0,0.06534359374622693,0.0,370,370,370,370,370,370,370,370,370,370,370
GET,/d,5,0,130.0,181.24971399993228,1.3408830000116723,638.1234279997443,121.0,0.16335898436556734,0.0,130,140,140,640,640,640,640,640,640,640,640
GET,/d,2,0,6,24.368809999941732,5.539321999094682,43.19829800078878,182.0,0.06534359374622693,0.0,43,43,43,43,43,43,43,43,43,43,43
GET,/d,2,0,1.396964999003103,120.38467949969345,1.396964999003103,239.3723940003838,210.0,0.06534359374622693,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/d,1,0,2.6241469986416632,2.6241469986416632,2.6241469986416632,2.6241469986416632,483.0,0.032671796873113466,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/d,3,0,3,56.36736066723339,2.3905979996925453,163.6590010002692,354.0,0.09801539061934039,0.0,3,3,160,160,160,160,160,160,160,160,160
GET,/d,2,0,183.96521299837332,229.92842199892038,183.96521299837332,275.89163099946745,246.0,0.06534359374622693,0.0,280,280,280,280,280,280,280,280,280,280,280
