type,name,request_count,failure_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,rps,fps,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/d,3,0,510.0,713.9940049989187,242.81926899857353,1385.7203939987812,401.0,0.09742373922111208,0.0,510,510,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/d,3,0,270.0,222.3787523331945,32.04268999979831,366.7301989989937,0.0,0.09742373922111208,0.0,270,270,370,370,370,370,370,370,370,370,370
GET,/d,2,0,150.0,153.5110260001602,148.8674539996282,158.1545980006922,176.0,0.06494915948074138,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/d,2,0,140.0,216.0774620006123,138.6169190009241,293.5380050003005,0.0,0.06494915948074138,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/d,4,0,220.0,249.9354315000346,20.552681999106426,517.1829099999741,0.0,0.12989831896148277,0.0,240,240,520,520,520,520,520,520,520,520,520
GET,/d,2,0,3.041796999241342,3.2082984998851316,3.041796999241342,3.3748000005289214,480.0,0.06494915948074138,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/d,4,0,130.0,164.81728124972506,83.6715280001954,304.69340499985265,0.0,0.12989831896148277,0.0,140,140,300,300,300,300,300,300,300,300,300
GET,/d,3,0,2,2.0052129996959898,1.5795999988768017,2.618978000100469,0.0,0.09742373922111208,0.0,2,2,3,3,3,3,3,3,3,3,3
GET,/d,3,0,130.0,280.25491666691477,97.36447000068438,608.8405099999363,121.0,0.09742373922111208,0.0,130,130,610,610,610,610,610,610,610,610,610
GET,/d,2,0,27.103933998660068,87.54894149933534,27.103933998660068,147.99394900001062,182.0,0.06494915948074138,0.0,150,150,150,150,150,150,150,150,150,150,150
GET,/d,1,0,77.10994000080973,77.10994000080973,77.10994000080973,77.10994000080973,210.0,0.03247457974037069,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/d,3,0,270.0,217.84826466682716,116.29760200048622,272.15023200005817,173.0,0.09742373922111208,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/d,3,0,320.0,343.6063803334643,145.60404999974708,569.9822189999395,354.0,0.09742373922111208,0.0,320,320,570,570,570,570,570,570,570,570,570
GET,/d,3,0,160.0,121.05553933300446,4.055892999531352,196.8388440000126,246.0,0.09742373922111208,0.0,160,160,200,200,200,200,200,200,200,200,200
GET,/d,3,0,120.0,143.26343633304836,1.6488130004290724,303.36795699986396,173.0,0.09742373922111208,0.0,120,120,300,300,300,300,300,300,300,300,300
GET,/d,3,0,470.0,318.590887333509,2.168781000364106,482.63389699968684,0.0,0.09742373922111208,0.0,470,470,480,480,480,480,480,480,480,480,480
GET,/d,4,0,83,114.76699524928335,2.234361998489476,265.2484459995321,215.0,0.12989831896148277,0.0,110,110,270,270,270,270,270,270,270,270,270
GET,/d,5,0,6,73.04158779952559,4.9589409991313005,214.0975319998688,0.0,0.16237289870185348,0.0,6,130,130,210,210,210,210,210,210,210,210
GET,/d,4,0,3,42.70214499956637,2.317124000910553,99.04415199889627,467.0,0.12989831896148277,0.0,66,66,99,99,99,99,99,99,99,99,99
GET,/d,1,0,2.9618979988299543,2.9618979988299543,2.9618979988299543,2.9618979988299543,213.0,0.03247457974037069,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/d,4,0,79,166.37983999953576,50.71999299980234,443.3291109999118,0.0,0.12989831896148277,0.0,92,92,440,440,440,440,440,440,440,440,440
GET,/d,1,0,28.053215999534586,28.053215999534586,28.053215999534586,28.053215999534586,180.0,0.03247457974037069,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/d,4,0,2,48.3598125001663,1.7955490002350416,185.94102099996235,0.0,0.12989831896148277,0.0,4,4,190,190,190,190,190,190,190,190,190
GET,/d,2,0,69.25489100103732,890.9795105009835,69.25489100103732,1712.7041300009296,735.0,0.06494915948074138,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/d,1,0,2.539848001106293,2.539848001106293,2.539848001106293,2.539848001106293,0.0,0.03247457974037069,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/d,2,0,143.5751610006264,191.9769135001843,143.5751610006264,240.37866599974222,159.0,0.06494915948074138,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/d,2,0,151.16167000087444,362.13383999984217,151.16167000087444,573.1060099988099,210.0,0.06494915948074138,0.0,570,570,570,570,570,570,570,570,570,570,570
GET,/d,4,0,120.0,319.5210217500062,1.9499680001899833,595.2549150006234,272.0,0.12989831896148277,0.0,560,560,600,600,600,600,600,600,600,600,600
GET,/d,4,0,110.0,164.18741750021582,5.22287000057986,293.3573959999194,191.0,0.12989831896148277,0.0,250,250,290,290,290,290,290,290,290,290,290
GET,/d,3,0,300.0,293.0284903335026,56.55984199984232,522.8700860006938,209.0,0.09742373922111208,0.0,300,300,520,520,520,520,520,520,520,520,520
