type,name,request_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,rps,50%
GET,/d,1,491.48287899970455,491.48287899970455,491.48287899970455,491.48287899970455,401.0,0.03263680133351433,490
GET,/d,3,2.905557999838493,2.555045000008249,2.166911000131222,2.905557999838493,0.0,0.09791040400054297,3
GET,/d,3,190.0,157.87165866686337,69.97329000023456,215.35886900028345,114.0,0.09791040400054297,190
GET,/d,1,454.4969799999308,454.4969799999308,454.4969799999308,454.4969799999308,176.0,0.03263680133351433,450
GET,/d,1,716.246645999945,716.246645999945,716.246645999945,716.246645999945,0.0,0.03263680133351433,720
GET,/d,2,110.0,496.74084999992374,105.51828500001648,887.963414999831,0.0,0.06527360266702865,890
GET,/d,3,160.0,130.02653200010172,2.751975000137463,230.5729889999384,0.0,0.09791040400054297,160
GET,/d,7,7,48.04947700014444,3.565561999948841,189.87765500014575,480.0,0.22845760933460027,7
GET,/d,2,3,127.2685514998102,2.7152379998369724,251.82186499978343,0.0,0.06527360266702865,250
GET,/d,1,2.30477900004189,2.30477900004189,2.30477900004189,2.30477900004189,0.0,0.03263680133351433,2
GET,/d,1,131.1453260000235,131.1453260000235,131.1453260000235,131.1453260000235,121.0,0.03263680133351433,130
GET,/d,2,2,105.61637849991712,1.9791059999079152,209.25365099992632,182.0,0.06527360266702865,210
GET,/d,2,3.119413000149507,100.86357550017055,3.119413000149507,198.6077380001916,210.0,0.06527360266702865,200
GET,/d,3,4,191.50538766674194,3.294926000307896,566.9358860000102,173.0,0.09791040400054297,4
GET,/d,3,540.0,420.279350666533,51.34914199970808,672.3287380000329,483.0,0.09791040400054297,540
GET,/d,3,160.0,370.90889533343824,151.82233600035033,801.3200790001065,354.0,0.09791040400054297,160
GET,/d,3,2,79.13618199988075,1.5371469999081455,234.1277989999071,246.0,0.09791040400054297,2
GET,/d,8,93,189.91672275006977,3.0759010001020215,487.28483100012454,173.0,0.2610944106681146,160
GET,/d,2,2,10.720432999960394,1.9022100000256614,19.538655999895127,0.0,0.06527360266702865,20
GET,/d,3,71,103.15735233340699,1.8682670001908264,236.39311600027213,215.0,0.09791040400054297,71
GET,/d,3,210.0,222.66236333340808,174.23176800002693,281.78447700020115,0.0,0.09791040400054297,210
GET,/d,2,3.0567650001103175,118.58260799999698,3.0567650001103175,234.10845099988364,0.0,0.06527360266702865,230
GET,/d,1,180.8783320002476,180.8783320002476,180.8783320002476,180.8783320002476,467.0,0.03263680133351433,180
GET,/d,1,4.734085000109189,4.734085000109189,4.734085000109189,4.734085000109189,213.0,0.03263680133351433,5
GET,/d,1,51.76728400010688,51.76728400010688,51.76728400010688,51.76728400010688,0.0,0.03263680133351433,52
GET,/d,2,71,80.07646149985703,70.86139800003366,89.2915249996804,180.0,0.06527360266702865,89
GET,/d,1,122.68532000007326,122.68532000007326,122.68532000007326,122.68532000007326,0.0,0.03263680133351433,120
GET,/d,3,38,63.861505333534296,35.6875420002325,118.2061600002271,735.0,0.09791040400054297,38
GET,/d,4,4,48.92503700000361,3.401922999728413,98.95566900013364,0.0,0.1305472053340573,90
GET,/d,2,110.0,381.7812104998666,109.23512199997276,654.3272989997604,159.0,0.06527360266702865,650
GET,/d,6,190.0,211.17607916668626,1.7481400000178837,479.7416390001672,210.0,0.19582080800108595,190
GET,/d,1,290.9324209999795,290.9324209999795,290.9324209999795,290.9324209999795,272.0,0.03263680133351433,290
GET,/d,3,280.0,1247.144381333328,7.649631000276713,3452.8863799996543,191.0,0.09791040400054297,280
GET,/d,3,7,269.6078893335046,2.753861000201141,798.6906050000471,220.0,0.09791040400054297,7
GET,/d,2,120.0,243.21044300018002,118.96597000031761,367.45491600004243,209.0,0.06527360266702865,370
GET,/d,3,76,108.16840833331298,42.63652000008733,205.86765100006232,219.0,0.09791040400054297,76
GET,/d,1,5.855884000084188,5.855884000084188,5.855884000084188,5.855884000084188,214.0,0.03263680133351433,6
GET,/d,2,35,87.74114300013025,34.88191700034804,140.60036899991246,351.0,0.06527360266702865,140
GET,/d,4,3,14.797167750089102,2.5142340000456898,28.268319999824598,446.0,0.1305472053340573,25
GET,/d,1,614.617079999789,614.617079999789,614.617079999789,614.617079999789,237.0,0.03263680133351433,610
GET,/d,3,75,74.64081500014193,3.48475500004497,145.78255700007503,421.0,0.09791040400054297,75
GET,/d,2,531.1223500002598,618.1793945002028,531.1223500002598,705.2364390001458,254.0,0.06527360266702865,710
GET,/d,1,48.3849869997357,48.3849869997357,48.3849869997357,48.3849869997357,208.0,0.03263680133351433,48
GET,/d,3,37,95.80811266672147,15.06235699980607,235.07094100023096,0.0,0.09791040400054297,37
GET,/d,3,40,44.46502366651354,1.7532379997646785,91.60643199993501,220.0,0.09791040400054297,40
GET,/d,1,140.93364999962432,140.93364999962432,140.93364999962432,140.93364999962432,398.0,0.03263680133351433,140
GET,/d,3,170.0,221.61745999998553,10.0462499999594,481.1641759997656,1300.0,0.09791040400054297,170
GET,/d,2,13.370300000133284,345.137571000123,13.370300000133284,676.9048420001127,0.0,0.06527360266702865,680
GET,/d,4,160.0,142.62850274997163,12.244520999956876,216.8694060001144,0.0,0.1305472053340573,180
GET,/d,5,59,167.35785860009855,3.3229320001737506,663.0118449998008,185.0,0.16318400666757163,59
GET,/d,1,859.6686249998129,859.6686249998129,859.6686249998129,859.6686249998129,0.0,0.03263680133351433,860
GET,/d,1,582.8847450002286,582.8847450002286,582.8847450002286,582.8847450002286,0.0,0.03263680133351433,580
GET,/d,4,50,198.3809770000562,46.023984999919776,533.4829260000333,0.0,0.1305472053340573,160
