type,name,request_count,median_response_time,average_response_time,min_response_time,max_response_time,average_content_size,rps,50%
GET,/d,2,2.383836999797495,68.17998399992575,2.383836999797495,133.976131000054,401.0,0.06531061053185883,130
GET,/d,4,4,25.08074125012172,3.095385000051465,88.334562,0.0,0.13062122106371765,5
GET,/d,2,111.65003599990087,142.01575300012337,111.65003599990087,172.38147000034587,114.0,0.06531061053185883,170
GET,/d,3,110.0,396.3758396665374,3.76865899988843,1071.1760849999337,176.0,0.09796591579778825,110
GET,/d,2,57.47143000007782,70.70703149997826,57.47143000007782,83.9426329998787,0.0,0.06531061053185883,84
GET,/d,3,7,59.482895333379325,1.0386170001766004,170.51934399978563,0.0,0.09796591579778825,7
GET,/d,2,73,125.86949399997138,72.51003100009257,179.2289569998502,0.0,0.06531061053185883,180
GET,/d,2,152.8834050000114,312.80050300006224,152.8834050000114,472.71760100011306,480.0,0.06531061053185883,470
GET,/d,2,4,10.173285500059137,3.6766079997505585,16.669963000367716,0.0,0.06531061053185883,17
GET,/d,5,76,177.0640480000111,6.692793000183883,562.2660059998452,0.0,0.16327652632964706,76
GET,/d,6,80,400.22869350006357,22.731038000074477,1776.798326000062,121.0,0.1959318315955765,95
GET,/d,2,97,145.9502169998359,96.65180399997553,195.24862999969628,182.0,0.06531061053185883,200
GET,/d,5,80,68.1980731999829,31.442676999631658,112.05728300001283,210.0,0.16327652632964706,80
GET,/d,1,95.5316810000113,95.5316810000113,95.5316810000113,95.5316810000113,173.0,0.03265530526592941,96
GET,/d,5,6,88.7666866001382,3.5185570000066946,369.2104820001987,483.0,0.16327652632964706,6
GET,/d,2,3,3.651569999874482,2.988526999615715,4.314613000133249,354.0,0.06531061053185883,4
GET,/d,4,4,39.9517029998151,3.853027999866754,97.88206299981539,246.0,0.13062122106371765,54
GET,/d,1,244.78373800002373,244.78373800002373,244.78373800002373,244.78373800002373,173.0,0.03265530526592941,240
GET,/d,3,48,79.35058733346523,2.0204510001349263,188.4294240003328,0.0,0.09796591579778825,48
GET,/d,2,4.224935000365804,40.503592500272134,4.224935000365804,76.78225000017846,215.0,0.06531061053185883,77
GET,/d,3,130.0,93.38216033347635,3.432232000250224,150.35674099999596,0.0,0.09796591579778825,130
GET,/d,2,2,15.143328000021938,1.944045000072947,28.34261099997093,0.0,0.06531061053185883,28
GET,/d,3,84,59.64567533343749,1.714405000257102,93.09078400019644,467.0,0.09796591579778825,84
GET,/d,2,2.072972999940248,52.61145750000651,2.072972999940248,103.14994200007277,213.0,0.06531061053185883,100
GET,/d,2,93,125.35936900007982,92.82985500021823,157.88888299994142,0.0,0.06531061053185883,160
GET,/d,1,1.5965120001055766,1.5965120001055766,1.5965120001055766,1.5965120001055766,0.0,0.03265530526592941,2
GET,/d,2,98,228.36157300002924,97.78421800001524,358.93892800004323,735.0,0.06531061053185883,360
GET,/d,5,5,75.68759160003538,2.6514710002629727,207.44313199975295,0.0,0.16327652632964706,5
GET,/d,4,43,153.8248202499517,2.4689050001143187,381.87194900001487,159.0,0.13062122106371765,190
GET,/d,1,100.79467600007774,100.79467600007774,100.79467600007774,100.79467600007774,210.0,0.03265530526592941,100
GET,/d,2,92.2300490001362,214.57593099989936,92.2300490001362,336.9218129996625,272.0,0.06531061053185883,340
GET,/d,4,3,62.178798999980245,2.497750000202359,185.54425999991508,191.0,0.13062122106371765,58
GET,/d,3,380.0,281.4871723332241,80.14819899972281,382.294980000097,220.0,0.09796591579778825,380
GET,/d,2,2,160.8738594998158,1.8248249998578103,319.9228939997738,209.0,0.06531061053185883,320
GET,/d,2,2,14.99659000023712,1.6869570004018897,28.30622300007235,219.0,0.06531061053185883,28
GET,/d,4,61,69.48370174984575,3.0261019996942196,118.80008099979023,214.0,0.13062122106371765,95
GET,/d,4,7,21.55907650012523,2.1599950000563695,70.02729800024099,428.0,0.13062122106371765,7
GET,/d,4,3,140.01059599991095,1.9769399996221182,519.827377999718,446.0,0.13062122106371765,35
GET,/d,3,1.280897000015102,2.539072666574308,1.280897000015102,4.875510999681865,237.0,0.09796591579778825,1
GET,/d,2,2,177.76986550006768,1.9023489999199228,353.63738200021544,421.0,0.06531061053185883,350
GET,/d,3,15,49.668527333475744,4.2893290001302375,129.38801900008912,254.0,0.09796591579778825,15
GET,/d,1,69.59874900030627,69.59874900030627,69.59874900030627,69.59874900030627,208.0,0.03265530526592941,70
GET,/d,3,81,60.564046333486964,2.4902070003918197,97.72708699983923,0.0,0.09796591579778825,81
GET,/d,1,132.06498399995326,132.06498399995326,132.06498399995326,132.06498399995326,220.0,0.03265530526592941,130
GET,/d,1,2.6357570000072883,2.6357570000072883,2.6357570000072883,2.6357570000072883,398.0,0.03265530526592941,3
GET,/d,3,33,467.41228266652496,4.667102999974304,1364.6159729996725,1300.0,0.09796591579778825,33
GET,/d,1,62.46993500008102,62.46993500008102,62.46993500008102,62.46993500008102,0.0,0.03265530526592941,62
GET,/d,3,10,9.106244000122388,2.980566000132967,14.064866999888181,0.0,0.09796591579778825,10
GET,/d,3,73,164.7720019999118,19.742649999898276,401.192748000085,173.0,0.09796591579778825,73
GET,/d,3,90,98.75131399985548,82.5835829996322,124.02808100023321,0.0,0.09796591579778825,90
GET,/d,4,53,64.18023625008118,1.4571080000678194,102.42310600006022,185.0,0.13062122106371765,100
GET,/d,2,3,29.74915449999571,2.868889000183117,56.629419999808306,0.0,0.06531061053185883,57
GET,/d,3,57,64.5331983334169,40.841277000254195,95.37377000015113,0.0,0.09796591579778825,57
